Coderange,level1_desc,level2_desc,level3_desc,URL
S76,"Injury, poisoning and certain other consequences of external causes",Injuries to the hip and thigh,"Injury of muscle, fascia and tendon at hip and thigh level",https://www.icd10data.com/ICD10CM/Codes/S00-T88/S70-S79/S76-
S77,"Injury, poisoning and certain other consequences of external causes",Injuries to the hip and thigh,Crushing injury of hip and thigh,https://www.icd10data.com/ICD10CM/Codes/S00-T88/S70-S79/S77-
S78,"Injury, poisoning and certain other consequences of external causes",Injuries to the hip and thigh,Traumatic amputation of hip and thigh,https://www.icd10data.com/ICD10CM/Codes/S00-T88/S70-S79/S78-
S79,"Injury, poisoning and certain other consequences of external causes",Injuries to the hip and thigh,Other and unspecified injuries of hip and thigh,https://www.icd10data.com/ICD10CM/Codes/S00-T88/S70-S79/S79-
S80,"Injury, poisoning and certain other consequences of external causes",Injuries to the knee and lower leg,Superficial injury of knee and lower leg,https://www.icd10data.com/ICD10CM/Codes/S00-T88/S80-S89/S80-
S81,"Injury, poisoning and certain other consequences of external causes",Injuries to the knee and lower leg,Open wound of knee and lower leg,https://www.icd10data.com/ICD10CM/Codes/S00-T88/S80-S89/S81-
S82,"Injury, poisoning and certain other consequences of external causes",Injuries to the knee and lower leg,"Fracture of lower leg, including ankle",https://www.icd10data.com/ICD10CM/Codes/S00-T88/S80-S89/S82-
S83,"Injury, poisoning and certain other consequences of external causes",Injuries to the knee and lower leg,Dislocation and sprain of joints and ligaments of knee,https://www.icd10data.com/ICD10CM/Codes/S00-T88/S80-S89/S83-
S84,"Injury, poisoning and certain other consequences of external causes",Injuries to the knee and lower leg,Injury of nerves at lower leg level,https://www.icd10data.com/ICD10CM/Codes/S00-T88/S80-S89/S84-
S85,"Injury, poisoning and certain other consequences of external causes",Injuries to the knee and lower leg,Injury of blood vessels at lower leg level,https://www.icd10data.com/ICD10CM/Codes/S00-T88/S80-S89/S85-
S86,"Injury, poisoning and certain other consequences of external causes",Injuries to the knee and lower leg,"Injury of muscle, fascia and tendon at lower leg level",https://www.icd10data.com/ICD10CM/Codes/S00-T88/S80-S89/S86-
S87,"Injury, poisoning and certain other consequences of external causes",Injuries to the knee and lower leg,Crushing injury of lower leg,https://www.icd10data.com/ICD10CM/Codes/S00-T88/S80-S89/S87-
S88,"Injury, poisoning and certain other consequences of external causes",Injuries to the knee and lower leg,Traumatic amputation of lower leg,https://www.icd10data.com/ICD10CM/Codes/S00-T88/S80-S89/S88-
S89,"Injury, poisoning and certain other consequences of external causes",Injuries to the knee and lower leg,Other and unspecified injuries of lower leg,https://www.icd10data.com/ICD10CM/Codes/S00-T88/S80-S89/S89-
S90,"Injury, poisoning and certain other consequences of external causes",Injuries to the ankle and foot,"Superficial injury of ankle, foot and toes",https://www.icd10data.com/ICD10CM/Codes/S00-T88/S90-S99/S90-
S91,"Injury, poisoning and certain other consequences of external causes",Injuries to the ankle and foot,"Open wound of ankle, foot and toes",https://www.icd10data.com/ICD10CM/Codes/S00-T88/S90-S99/S91-
S92,"Injury, poisoning and certain other consequences of external causes",Injuries to the ankle and foot,"Fracture of foot and toe, except ankle",https://www.icd10data.com/ICD10CM/Codes/S00-T88/S90-S99/S92-
S93,"Injury, poisoning and certain other consequences of external causes",Injuries to the ankle and foot,"Dislocation and sprain of joints and ligaments at ankle, foot and toe level",https://www.icd10data.com/ICD10CM/Codes/S00-T88/S90-S99/S93-
S94,"Injury, poisoning and certain other consequences of external causes",Injuries to the ankle and foot,Injury of nerves at ankle and foot level,https://www.icd10data.com/ICD10CM/Codes/S00-T88/S90-S99/S94-
S95,"Injury, poisoning and certain other consequences of external causes",Injuries to the ankle and foot,Injury of blood vessels at ankle and foot level,https://www.icd10data.com/ICD10CM/Codes/S00-T88/S90-S99/S95-
S96,"Injury, poisoning and certain other consequences of external causes",Injuries to the ankle and foot,Injury of muscle and tendon at ankle and foot level,https://www.icd10data.com/ICD10CM/Codes/S00-T88/S90-S99/S96-
S97,"Injury, poisoning and certain other consequences of external causes",Injuries to the ankle and foot,Crushing injury of ankle and foot,https://www.icd10data.com/ICD10CM/Codes/S00-T88/S90-S99/S97-
S98,"Injury, poisoning and certain other consequences of external causes",Injuries to the ankle and foot,Traumatic amputation of ankle and foot,https://www.icd10data.com/ICD10CM/Codes/S00-T88/S90-S99/S98-
S99,"Injury, poisoning and certain other consequences of external causes",Injuries to the ankle and foot,Other and unspecified injuries of ankle and foot,https://www.icd10data.com/ICD10CM/Codes/S00-T88/S90-S99/S99-
T07,"Injury, poisoning and certain other consequences of external causes",Injuries involving multiple body regions,Unspecified multiple injuries,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T07-T07/T07-
T14,"Injury, poisoning and certain other consequences of external causes",Injury of unspecified body region,Injury of unspecified body region,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T14-T14/T14-
T15,"Injury, poisoning and certain other consequences of external causes",Effects of foreign body entering through natural orifice,Foreign body on external eye,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T15-T19/T15-
T16,"Injury, poisoning and certain other consequences of external causes",Effects of foreign body entering through natural orifice,Foreign body in ear,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T15-T19/T16-
T17,"Injury, poisoning and certain other consequences of external causes",Effects of foreign body entering through natural orifice,Foreign body in respiratory tract,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T15-T19/T17-
T18,"Injury, poisoning and certain other consequences of external causes",Effects of foreign body entering through natural orifice,Foreign body in alimentary tract,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T15-T19/T18-
T19,"Injury, poisoning and certain other consequences of external causes",Effects of foreign body entering through natural orifice,Foreign body in genitourinary tract,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T15-T19/T19-
T20,"Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface, specified by site","Burn and corrosion of head, face, and neck",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T20-T25/T20-
T21,"Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface, specified by site",Burn and corrosion of trunk,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T20-T25/T21-
T22,"Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface, specified by site","Burn and corrosion of shoulder and upper limb, except wrist and hand",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T20-T25/T22-
T23,"Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface, specified by site",Burn and corrosion of wrist and hand,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T20-T25/T23-
T24,"Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface, specified by site","Burn and corrosion of lower limb, except ankle and foot",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T20-T25/T24-
T25,"Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface, specified by site",Burn and corrosion of ankle and foot,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T20-T25/T25-
T26,"Injury, poisoning and certain other consequences of external causes",Burns and corrosions confined to eye and internal organs,Burn and corrosion confined to eye and adnexa,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T26-T28/T26-
T27,"Injury, poisoning and certain other consequences of external causes",Burns and corrosions confined to eye and internal organs,Burn and corrosion of respiratory tract,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T26-T28/T27-
T28,"Injury, poisoning and certain other consequences of external causes",Burns and corrosions confined to eye and internal organs,Burn and corrosion of other internal organs,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T26-T28/T28-
T30,"Injury, poisoning and certain other consequences of external causes",Burns and corrosions of multiple and unspecified body regions,"Burn and corrosion, body region unspecified",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T30-T32/T30-
T31,"Injury, poisoning and certain other consequences of external causes",Burns and corrosions of multiple and unspecified body regions,Burns classified according to extent of body surface involved,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T30-T32/T31-
T32,"Injury, poisoning and certain other consequences of external causes",Burns and corrosions of multiple and unspecified body regions,Corrosions classified according to extent of body surface involved,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T30-T32/T32-
T33,"Injury, poisoning and certain other consequences of external causes",Frostbite,Superficial frostbite,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T33-T34/T33-
T34,"Injury, poisoning and certain other consequences of external causes",Frostbite,Frostbite with tissue necrosis,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T33-T34/T34-
T36,"Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances","Poisoning by, adverse effect of and underdosing of systemic antibiotics",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T36-T50/T36-
T37,"Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances","Poisoning by, adverse effect of and underdosing of other systemic anti-infectives and antiparasitics",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T36-T50/T37-
T38,"Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances","Poisoning by, adverse effect of and underdosing of hormones and their synthetic substitutes and antagonists, not elsewhere classified",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T36-T50/T38-
T39,"Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances","Poisoning by, adverse effect of and underdosing of nonopioid analgesics, antipyretics and antirheumatics",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T36-T50/T39-
T40,"Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances","Poisoning by, adverse effect of and underdosing of narcotics and psychodysleptics [hallucinogens]",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T36-T50/T40-
T41,"Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances","Poisoning by, adverse effect of and underdosing of anesthetics and therapeutic gases",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T36-T50/T41-
T42,"Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances","Poisoning by, adverse effect of and underdosing of antiepileptic, sedative- hypnotic and antiparkinsonism drugs",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T36-T50/T42-
T43,"Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances","Poisoning by, adverse effect of and underdosing of psychotropic drugs, not elsewhere classified",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T36-T50/T43-
T44,"Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances","Poisoning by, adverse effect of and underdosing of drugs primarily affecting the autonomic nervous system",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T36-T50/T44-
T45,"Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances","Poisoning by, adverse effect of and underdosing of primarily systemic and hematological agents, not elsewhere classified",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T36-T50/T45-
T46,"Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances","Poisoning by, adverse effect of and underdosing of agents primarily affecting the cardiovascular system",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T36-T50/T46-
T47,"Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances","Poisoning by, adverse effect of and underdosing of agents primarily affecting the gastrointestinal system",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T36-T50/T47-
T48,"Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances","Poisoning by, adverse effect of and underdosing of agents primarily acting on smooth and skeletal muscles and the respiratory system",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T36-T50/T48-
T49,"Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances","Poisoning by, adverse effect of and underdosing of topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinorlaryngological and dental drugs",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T36-T50/T49-
T50,"Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances","Poisoning by, adverse effect of and underdosing of diuretics and other and unspecified drugs, medicaments and biological substances",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T36-T50/T50-
T51,"Injury, poisoning and certain other consequences of external causes",Toxic effects of substances chiefly nonmedicinal as to source,Toxic effect of alcohol,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T51-T65/T51-
T52,"Injury, poisoning and certain other consequences of external causes",Toxic effects of substances chiefly nonmedicinal as to source,Toxic effect of organic solvents,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T51-T65/T52-
T53,"Injury, poisoning and certain other consequences of external causes",Toxic effects of substances chiefly nonmedicinal as to source,Toxic effect of halogen derivatives of aliphatic and aromatic hydrocarbons,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T51-T65/T53-
T54,"Injury, poisoning and certain other consequences of external causes",Toxic effects of substances chiefly nonmedicinal as to source,Toxic effect of corrosive substances,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T51-T65/T54-
T55,"Injury, poisoning and certain other consequences of external causes",Toxic effects of substances chiefly nonmedicinal as to source,Toxic effect of soaps and detergents,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T51-T65/T55-
